Academia,Ubicación,Carrusel,Archivo,Canva,Brief,Estado
ARCADIA III,,carrusel_brief,,https://canva.link/iz5xyu4fk8dfgsi,,Terminado
ARCADIA III,,WhyTauntonFirst_Design_Brief,,https://canva.link/29ursgfacys45hr,,Terminado
ARCADIA III,,TourExpect_Design_Brief,,https://canva.link/t8ni123zqs8cnuw,,Terminado
ARCADIA III,,TRUST_Design_Brief,,https://canva.link/1z60k2gk686butu,,Terminado
ARCADIA III,,DailyComm_Testimonial_Design,,https://canva.link/nzk2ev1ecie7sob,,Terminado
ARCADIA III,,DailyComm_Design_Brief,,https://canva.link/991wgwz5alyemq6,,Terminado
ARCADIA III,,UPDATE_Design_Brief,,https://canva.link/5lweczrf6qnmiav,,Terminado
ARCADIA I,Donde Empezar,WhereToStart_Design_Brief,,https://canva.link/h8ei0x9i92b1905,,Terminado
ARCADIA I,Boston,Boston_Tour_Design_Brief,,https://canva.link/4lftuia4kmwxy3v,,Terminado
ARCADIA I,Dorchester,Dorchester_Design_Brief,,https://canva.link/rjua1b8ofdcpy3q,,Terminado
ARCADIA II,Brockton,brief_arcadia_brockton_carrusel,brief_arcadia_brockton_carrusel.docx,,,En Proceso
CHILDRENS ACADEMY,Malden,Brief_Carrusel_ChildrensAcademyMalden,,,En Proceso
LITTLE SCHOLARS,,brieflittlescholarscarrusel,brieflittlescholarscarrusel (1).docx,,,En Proceso
LITTLE SCHOLARS,,brieflittlescholarsgrowswithfamily,brieflittlescholarsgrowswithfamily (1).docx,,,En Proceso
RSL,Roslindale,brief_roslindale_carrusel,brief_roslindale_carrusel.docx,,,En Proceso
TAUTON,,brief_tauton_carrusel,,,En Proceso
